Intermediate Zone - Data Zone 2011,Mainly work from home,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Other - No fixed place of work or working outside the UK
S01006506,129,27,15,75,133,1,0,1,4,81
S01006507,99,12,14,42,109,1,2,2,2,34
S01006508,82,13,10,43,105,5,2,0,4,44
S01006509,63,16,10,31,91,4,2,0,3,36
S01006510,81,14,10,36,82,0,1,3,2,44
S01006511,99,13,18,50,82,1,0,1,0,28
S01006512,83,3,16,22,85,1,1,1,2,28
S01006513,154,4,19,171,59,3,0,6,4,44
S01006514,155,19,22,122,72,4,0,2,2,53
S01006515,133,4,14,111,35,1,2,2,3,31
S01006516,94,12,11,60,20,2,2,0,3,28
S01006517,347,9,102,412,42,5,3,8,10,117
S01006518,86,6,20,87,13,3,0,0,7,18
S01006519,129,11,21,137,6,2,1,2,4,24
S01006520,116,9,26,106,9,1,1,1,4,27
S01006521,135,2,49,77,9,2,0,0,5,36
S01006522,108,2,61,83,8,5,2,0,5,20
S01006523,111,13,42,120,15,9,1,0,3,33
S01006524,160,13,29,103,11,5,0,2,10,28
S01006525,96,8,27,115,15,3,1,0,2,30
S01006526,82,30,103,64,6,3,0,2,6,66
S01006527,121,33,92,63,8,0,0,2,4,61
S01006528,102,50,142,56,18,1,0,1,4,81
S01006529,112,32,125,33,18,5,2,2,1,56
S01006530,70,25,94,27,5,5,1,3,3,45
S01006531,84,34,127,30,12,5,0,0,0,56
S01006532,85,25,80,41,18,1,1,0,2,34
S01006533,114,28,104,41,16,2,0,1,2,46
S01006534,135,47,108,45,21,9,0,2,5,41
S01006535,150,66,164,58,33,9,1,3,4,55
S01006536,130,65,108,37,21,12,0,2,3,53
S01006537,99,17,118,51,14,4,2,1,5,34
S01006538,79,15,93,56,9,6,0,1,0,19
S01006539,115,21,102,42,19,9,1,0,0,38
S01006540,150,26,128,58,12,7,3,1,7,54
S01006541,125,18,90,61,2,3,0,0,4,38
S01006542,141,20,120,93,13,3,0,1,7,62
S01006543,111,19,102,72,10,7,0,1,2,37
S01006544,185,25,143,116,9,8,1,2,5,51
S01006545,157,32,149,48,8,5,0,4,8,49
S01006546,88,15,76,41,4,0,0,2,8,24
S01006547,327,27,212,296,22,7,1,4,9,136
S01006548,95,21,94,59,0,3,0,1,1,42
S01006549,139,36,92,63,4,4,0,7,5,55
S01006550,125,22,102,66,2,4,1,2,8,41
S01006551,61,21,56,51,2,1,0,0,2,44
S01006552,139,33,134,76,8,10,1,0,10,55
S01006553,103,46,67,45,2,8,0,2,3,31
S01006554,98,68,94,51,3,9,0,1,1,64
S01006555,44,23,46,39,0,0,2,0,0,42
S01006556,82,46,77,66,4,5,0,2,2,53
S01006557,90,32,86,76,7,0,0,0,1,53
S01006558,81,81,62,26,11,10,3,3,4,27
S01006559,79,77,34,32,7,0,1,4,4,24
S01006560,146,95,87,55,6,4,1,4,3,47
S01006561,113,72,72,49,3,5,1,0,2,36
S01006562,116,88,91,59,5,3,1,5,10,35
S01006563,120,103,102,40,7,3,0,2,8,35
S01006564,114,121,73,24,15,8,1,4,2,39
S01006565,89,90,69,31,13,4,1,2,4,36
S01006566,125,124,74,38,7,8,0,6,2,45
S01006567,111,96,61,23,11,3,1,0,3,40
S01006568,136,173,92,49,10,12,0,2,5,62
S01006569,75,72,48,24,7,3,0,0,4,25
S01006570,112,92,65,41,12,10,1,1,2,37
S01006571,158,119,100,41,16,9,1,4,7,62
S01006572,136,46,81,66,4,3,1,2,12,40
S01006573,126,81,65,43,8,3,0,0,7,35
S01006574,168,84,99,63,6,1,0,3,2,51
S01006575,141,58,132,41,12,10,1,1,8,56
S01006576,123,50,72,43,9,5,1,3,6,30
S01006577,132,67,116,57,11,14,0,1,4,41
S01006578,152,102,141,65,19,11,0,5,4,72
S01006579,138,92,118,46,23,7,1,4,4,55
S01006580,122,50,113,36,14,5,0,2,6,41
S01006581,137,30,111,55,12,11,0,1,3,40
S01006582,133,108,88,43,18,11,2,1,4,65
S01006583,95,86,75,43,24,6,0,1,4,60
S01006584,98,105,82,27,18,7,0,0,5,40
S01006585,106,98,66,23,14,5,4,4,1,76
S01006586,172,154,108,41,17,12,0,4,12,95
S01006587,71,98,55,28,14,4,2,0,5,53
S01006588,92,93,38,28,17,2,2,1,9,51
S01006589,83,75,56,36,13,0,1,0,2,54
S01006590,156,98,70,21,20,3,4,0,3,68
S01006591,119,85,86,34,18,6,0,0,3,55
S01006592,129,79,66,47,26,5,1,0,4,46
S01006593,114,100,70,31,23,3,2,3,0,43
S01006594,57,36,65,27,17,5,1,1,4,48
S01006595,144,105,105,51,34,13,0,3,9,61
S01006596,142,76,100,34,13,4,0,0,5,48
S01006597,77,55,78,23,12,9,0,2,3,30
S01006598,121,61,100,25,36,2,0,1,4,52
S01006599,114,28,105,28,15,1,1,3,3,52
S01006600,137,48,163,43,28,7,5,0,2,65
S01006601,126,46,142,39,23,5,0,3,5,79
S01006602,123,50,96,38,21,7,1,0,6,34
S01006603,63,11,118,39,20,4,1,0,1,41
S01006604,79,44,89,26,14,6,1,0,2,65
S01006605,54,30,107,38,13,2,3,0,1,56
S01006606,89,20,110,31,20,1,4,1,4,48
S01006607,101,49,123,40,13,6,2,1,5,82
S01006608,406,81,232,317,123,13,5,14,11,198
S01006609,102,70,120,38,34,3,0,0,2,78
S01006610,51,25,74,24,8,1,0,0,0,29
S01006611,97,43,125,65,25,4,0,0,1,84
S01006612,103,18,115,68,22,2,0,2,3,74
S01006613,71,11,33,67,41,2,1,2,0,39
S01006614,93,10,38,115,48,4,2,1,4,68
S01006615,146,11,55,111,28,5,0,0,2,62
S01006616,116,20,49,111,40,4,0,3,6,44
S01006617,84,21,64,103,35,5,2,3,3,53
S01006618,51,12,34,59,26,3,0,3,0,22
S01006619,115,32,48,112,22,5,4,0,2,58
S01006620,111,41,67,72,36,5,1,0,1,55
S01006621,69,25,56,55,12,3,0,0,0,35
S01006622,101,28,69,74,34,4,1,1,3,49
S01006623,119,57,117,62,28,7,0,1,4,87
S01006624,148,103,128,57,25,4,0,5,2,89
S01006625,54,51,83,20,8,4,4,0,0,42
S01006626,50,40,65,21,8,4,1,1,2,37
S01006627,96,75,112,45,21,6,0,0,3,51
S01006628,100,109,90,44,20,12,0,2,1,53
S01006629,100,51,92,24,6,1,0,1,4,73
S01006630,73,59,76,29,14,1,0,0,5,67
S01006631,92,57,115,35,17,3,2,3,6,73
S01006632,88,43,95,34,8,1,0,0,1,39
S01006633,59,40,81,24,7,3,0,0,3,70
S01006634,65,24,68,34,4,5,0,0,1,38
S01006635,67,38,83,31,18,3,1,1,5,48
S01006636,80,45,89,23,25,4,1,0,4,50
S01006637,77,63,57,28,20,7,1,2,7,47
S01006638,91,61,73,33,12,6,2,2,5,45
S01006639,94,100,76,30,10,3,1,1,4,60
S01006640,139,88,102,46,21,7,0,0,6,56
S01006641,123,102,126,41,23,9,1,3,12,65
S01006642,81,93,59,29,17,9,1,5,15,65
S01006643,77,64,61,30,6,6,1,6,5,49
S01006644,154,103,115,56,24,13,0,8,5,88
S01006645,83,53,49,11,9,2,0,1,6,49
S01006646,81,87,52,21,9,2,0,2,0,40
S01006647,61,67,53,25,6,11,0,1,3,58
S01006648,144,131,82,25,22,9,0,3,5,67
S01006649,131,115,73,47,17,6,1,2,2,54
S01006650,81,64,68,34,7,3,1,2,3,53
S01006651,52,37,38,20,4,3,0,0,2,34
S01006652,60,68,57,32,11,19,0,2,1,37
S01006653,78,56,62,22,12,9,0,0,3,34
S01006654,76,60,84,39,5,3,0,0,9,55
S01006655,161,103,123,42,23,5,3,3,5,63
S01006656,114,127,90,33,14,5,2,1,1,46
S01006657,68,37,50,25,8,3,0,1,3,27
S01006658,180,116,123,61,26,13,2,3,5,76
S01006659,82,38,53,17,5,11,0,2,2,32
S01006660,62,21,48,28,14,2,0,0,2,31
S01006661,51,16,41,10,11,3,0,0,2,26
S01006662,82,21,70,29,9,2,0,0,3,29
S01006663,49,42,38,13,7,1,0,0,1,13
S01006664,44,27,47,15,4,5,0,0,1,15
S01006665,65,46,54,16,8,0,0,1,4,30
S01006666,137,45,145,68,21,9,1,6,6,106
S01006667,70,23,73,46,13,3,1,3,1,51
S01006668,65,32,60,37,17,7,1,5,1,37
S01006669,81,42,56,28,4,6,0,1,2,34
S01006670,84,43,76,22,9,6,0,5,0,40
S01006671,70,30,61,38,9,2,0,0,3,25
S01006672,67,32,65,28,8,0,0,1,1,50
S01006673,82,23,67,38,19,2,1,0,5,44
S01006674,87,13,62,52,16,7,0,0,3,56
S01006675,87,30,77,49,13,7,0,0,5,60
S01006676,79,32,63,28,12,4,0,2,2,44
S01006677,120,43,105,55,6,10,2,3,7,90
S01006678,180,41,218,92,22,13,0,3,7,114
S01006679,82,22,91,30,4,3,1,4,4,44
S01006680,119,23,98,62,17,13,0,2,4,86
S01006681,101,12,119,67,21,9,1,7,2,54
S01006682,99,31,74,36,6,2,2,3,1,86
S01006683,81,39,107,56,16,3,0,3,5,92
S01006684,81,13,92,32,6,5,0,6,4,36
S01006685,65,14,106,42,12,6,0,0,1,47
S01006686,48,21,77,40,5,2,1,1,0,38
S01006687,87,32,115,37,15,6,0,1,2,58
S01006688,108,47,64,39,10,5,3,2,0,46
S01006689,166,106,107,65,13,4,0,2,4,62
S01006690,87,28,86,41,9,4,1,5,1,35
S01006691,84,50,95,35,10,4,0,4,1,37
S01006692,83,40,87,40,12,6,1,5,2,31
S01006693,111,36,137,57,18,5,0,6,7,107
S01006694,74,48,87,41,6,4,0,4,0,61
S01006695,104,55,77,32,5,6,3,5,0,50
S01006696,84,54,80,35,11,4,0,1,1,69
S01006697,89,54,102,37,3,6,1,1,3,68
S01006698,69,45,75,39,5,0,0,1,2,44
S01006699,68,26,41,18,5,2,0,0,2,19
S01006700,93,50,75,24,6,0,0,2,6,42
S01006701,72,33,80,68,2,5,2,1,2,53
S01006702,79,48,93,69,15,3,1,0,1,64
S01006703,61,38,76,40,3,4,1,2,6,49
S01006704,63,18,78,55,6,0,0,2,1,46
S01006705,97,51,90,68,5,3,0,0,1,48
S01006706,64,37,79,49,5,2,1,0,1,56
S01006707,51,32,48,26,5,0,0,0,0,27
S01006708,85,31,86,91,11,3,0,2,5,57
S01006709,93,25,101,85,6,3,0,1,2,68
S01006710,79,20,58,102,8,6,0,0,3,59
S01006711,86,36,76,83,10,2,1,4,3,75
S01006712,48,18,69,49,8,4,0,0,0,39
S01006713,99,28,113,85,8,5,0,3,3,80
S01006714,77,38,68,46,9,1,0,0,0,43
S01006715,52,12,74,45,9,8,0,0,3,49
S01006716,39,25,75,47,9,0,4,1,0,39
S01006717,117,49,77,56,19,1,0,1,2,75
S01006718,51,20,83,42,13,2,0,2,1,51
S01006719,98,29,104,104,13,2,1,0,6,82
S01006720,57,15,78,69,6,3,2,0,0,48
S01006721,95,18,83,69,10,0,0,1,0,73
S01006722,76,20,82,70,12,2,0,0,2,56
S01006723,56,15,87,55,10,1,0,0,2,44
S01006724,94,26,99,53,11,3,1,1,1,56
S01006725,71,15,81,56,11,1,0,0,1,59
S01006726,61,13,84,43,8,3,0,0,0,46
S01006727,94,20,131,81,10,1,0,1,3,77
S01006728,86,17,102,68,10,7,0,3,1,64
S01006729,99,31,133,73,17,1,1,0,4,61
S01006730,76,12,83,83,8,4,0,1,2,55
S01006731,47,9,62,59,8,1,0,2,0,38
S01006732,293,26,138,252,77,14,1,4,5,120
S01006733,150,11,51,148,21,5,1,3,3,50
S01006734,138,12,46,174,26,5,1,4,2,65
S01006735,65,12,15,70,7,0,0,0,2,17
S01006736,163,16,106,186,18,8,0,3,3,77
S01006737,275,22,101,295,34,7,4,2,5,109
S01006738,237,48,242,208,40,9,5,9,8,151
S01006739,274,26,274,254,43,15,4,7,4,149
S01006740,83,18,74,76,17,4,0,3,3,51
S01006741,70,12,72,63,7,2,0,0,0,39
S01006742,38,9,43,59,9,4,0,0,2,25
S01006743,137,30,73,140,26,5,0,5,2,68
S01006744,66,24,55,58,16,1,0,0,0,35
S01006745,95,29,79,95,21,1,0,0,1,67
S01006746,88,22,85,94,19,3,2,0,1,69
S01006747,155,18,94,149,43,5,1,1,2,72
S01006748,219,83,86,219,46,5,1,9,4,129
S01006749,103,55,42,106,29,0,3,2,2,57
S01006750,62,26,39,66,27,2,0,2,0,37
S01006751,41,21,25,62,13,1,0,1,1,26
S01006752,66,41,33,69,36,3,3,2,1,38
S01006753,104,49,31,105,28,4,1,2,5,56
S01006754,92,35,44,97,32,2,3,3,4,68
S01006755,112,27,51,97,56,1,1,5,2,46
S01006756,122,9,101,53,24,3,0,4,2,58
S01006757,112,8,100,86,14,2,0,0,2,46
S01006758,77,19,109,55,12,3,2,1,3,47
S01006759,66,18,83,36,10,3,0,3,2,28
S01006760,67,22,83,49,18,3,1,1,4,29
S01006761,84,12,97,71,12,2,1,2,0,41
S01006762,233,33,140,197,37,10,4,5,7,85
S01006763,121,15,79,164,45,2,2,4,1,66
