Intermediate Zone - Data Zone 2011,White: Total,Mixed or multiple ethnic group,"Asian, Asian Scottish or Asian British: Total",African: Total,Caribbean or Black: Total,Other ethnic groups: Total
S01006506,890,30,27,19,0,3
S01006507,711,5,25,10,0,8
S01006508,503,13,16,5,1,3
S01006509,500,20,35,0,3,1
S01006510,586,16,12,4,0,3
S01006511,665,8,15,9,0,6
S01006512,558,11,21,2,2,5
S01006513,949,22,84,45,2,27
S01006514,903,39,70,15,1,12
S01006515,616,12,96,3,0,11
S01006516,518,33,22,33,3,20
S01006517,1762,66,92,88,10,39
S01006518,558,12,49,25,0,4
S01006519,684,21,68,13,5,27
S01006520,559,12,60,9,0,44
S01006521,603,28,70,0,0,15
S01006522,594,18,48,18,0,14
S01006523,782,19,52,17,0,16
S01006524,889,22,48,40,3,37
S01006525,630,14,116,20,0,37
S01006526,691,5,37,129,2,15
S01006527,742,18,83,49,9,11
S01006528,841,19,56,168,2,64
S01006529,675,17,77,94,1,12
S01006530,576,23,46,76,0,13
S01006531,698,17,55,101,2,6
S01006532,584,11,47,17,2,0
S01006533,652,9,29,3,2,9
S01006534,802,20,29,15,7,3
S01006535,882,24,45,23,1,12
S01006536,642,24,28,26,3,15
S01006537,787,1,22,2,2,5
S01006538,509,14,20,5,0,4
S01006539,691,6,26,5,2,5
S01006540,786,12,24,31,2,10
S01006541,778,10,19,5,0,20
S01006542,933,11,59,39,2,23
S01006543,707,5,30,12,0,8
S01006544,893,28,102,30,4,20
S01006545,885,16,37,27,1,10
S01006546,533,5,20,11,1,5
S01006547,1953,39,161,80,1,40
S01006548,621,8,25,11,0,20
S01006549,791,5,46,0,1,20
S01006550,823,7,22,18,3,5
S01006551,485,8,30,2,0,4
S01006552,820,13,39,24,0,28
S01006553,686,7,97,0,2,2
S01006554,655,7,106,23,4,7
S01006555,364,8,39,8,2,0
S01006556,682,4,54,1,0,1
S01006557,659,15,24,42,1,10
S01006558,500,12,32,6,1,16
S01006559,466,14,17,14,0,7
S01006560,845,19,63,14,0,21
S01006561,650,17,71,16,0,26
S01006562,757,37,84,20,1,36
S01006563,690,27,80,23,0,19
S01006564,644,20,100,34,2,30
S01006565,550,26,50,81,4,22
S01006566,650,28,50,26,7,13
S01006567,513,13,91,59,2,13
S01006568,680,21,78,64,3,34
S01006569,410,15,19,25,1,12
S01006570,617,8,38,22,4,13
S01006571,859,23,43,61,2,20
S01006572,790,11,54,14,0,22
S01006573,644,21,26,12,1,2
S01006574,907,20,38,4,7,5
S01006575,780,24,42,16,2,15
S01006576,589,17,27,16,2,6
S01006577,646,28,28,36,0,7
S01006578,788,26,99,48,5,26
S01006579,631,25,60,52,10,40
S01006580,538,26,39,37,1,8
S01006581,776,27,22,9,0,10
S01006582,606,26,49,183,7,18
S01006583,731,22,42,63,5,11
S01006584,490,14,41,25,3,30
S01006585,598,22,58,99,12,42
S01006586,902,24,121,95,2,35
S01006587,454,9,45,76,3,18
S01006588,424,22,40,107,2,31
S01006589,447,12,39,94,1,19
S01006590,582,10,56,53,12,24
S01006591,518,22,56,59,0,12
S01006592,485,13,65,61,1,8
S01006593,525,14,41,22,2,6
S01006594,432,7,24,30,4,5
S01006595,706,11,55,45,5,25
S01006596,663,10,35,33,0,4
S01006597,391,5,7,25,3,6
S01006598,737,13,17,37,2,33
S01006599,681,15,22,56,1,11
S01006600,963,18,47,39,2,17
S01006601,741,20,54,57,5,18
S01006602,729,20,28,10,0,7
S01006603,586,6,22,22,0,11
S01006604,571,6,25,8,1,1
S01006605,604,12,16,30,0,11
S01006606,738,6,13,6,0,4
S01006607,808,8,9,19,4,1
S01006608,2069,36,149,117,6,33
S01006609,853,7,14,5,2,1
S01006610,433,6,5,16,0,1
S01006611,836,5,16,28,1,0
S01006612,713,9,4,16,3,2
S01006613,420,5,31,16,1,3
S01006614,555,13,17,22,0,0
S01006615,671,3,34,59,0,0
S01006616,601,1,14,15,0,6
S01006617,727,4,4,8,1,0
S01006618,425,1,2,0,0,0
S01006619,682,15,14,16,0,4
S01006620,717,1,20,12,1,1
S01006621,432,6,8,14,0,4
S01006622,532,15,22,19,0,1
S01006623,896,17,17,26,6,5
S01006624,817,17,37,46,3,5
S01006625,473,5,19,27,0,0
S01006626,459,4,6,17,0,1
S01006627,589,16,17,37,2,9
S01006628,627,12,45,62,5,15
S01006629,769,12,52,9,1,11
S01006630,639,10,9,16,0,11
S01006631,852,14,12,21,3,7
S01006632,587,5,30,14,0,0
S01006633,577,9,8,26,0,4
S01006634,487,6,19,11,0,14
S01006635,586,3,8,16,2,1
S01006636,756,12,19,14,2,8
S01006637,501,12,35,28,2,8
S01006638,619,12,57,40,5,14
S01006639,783,23,70,30,1,15
S01006640,659,20,88,84,1,78
S01006641,753,38,70,106,4,21
S01006642,1118,38,93,85,5,29
S01006643,466,16,36,45,3,22
S01006644,866,17,65,88,2,32
S01006645,474,5,62,32,2,3
S01006646,790,33,117,95,0,32
S01006647,471,18,65,25,1,20
S01006648,926,21,132,164,9,36
S01006649,722,26,112,98,4,11
S01006650,497,36,55,58,1,22
S01006651,602,17,85,131,5,23
S01006652,738,32,98,96,6,17
S01006653,445,16,64,35,3,21
S01006654,653,22,34,26,1,13
S01006655,791,26,159,32,1,46
S01006656,642,28,114,62,1,35
S01006657,340,24,40,17,5,16
S01006658,1040,31,165,125,2,56
S01006659,523,13,44,15,3,15
S01006660,354,7,108,21,0,11
S01006661,383,8,59,13,3,7
S01006662,543,19,68,41,7,26
S01006663,407,12,36,24,1,12
S01006664,305,7,53,48,2,17
S01006665,682,29,72,71,4,30
S01006666,959,22,32,28,3,9
S01006667,567,10,44,28,1,14
S01006668,602,27,88,70,6,33
S01006669,716,24,101,70,4,29
S01006670,1079,27,97,92,11,34
S01006671,1572,68,179,127,7,32
S01006672,546,29,57,50,2,19
S01006673,618,15,43,59,0,15
S01006674,699,9,25,15,1,7
S01006675,710,19,20,26,0,5
S01006676,527,8,40,8,3,4
S01006677,858,4,40,70,2,27
S01006678,1359,27,74,45,4,25
S01006679,517,7,17,13,1,2
S01006680,779,21,40,29,4,4
S01006681,751,17,24,34,1,5
S01006682,726,24,66,37,4,15
S01006683,702,16,55,61,1,34
S01006684,566,9,29,24,1,10
S01006685,476,9,24,21,1,9
S01006686,408,10,29,11,1,6
S01006687,647,19,31,20,2,3
S01006688,760,11,52,24,4,2
S01006689,719,43,203,51,0,81
S01006690,445,15,61,44,2,8
S01006691,498,12,74,37,1,15
S01006692,569,26,36,23,0,4
S01006693,810,14,82,79,4,29
S01006694,795,7,54,13,1,6
S01006695,525,3,134,14,8,6
S01006696,590,3,104,32,3,0
S01006697,621,7,91,30,1,9
S01006698,543,6,65,16,5,6
S01006699,308,6,58,13,0,7
S01006700,561,14,106,35,4,13
S01006701,563,2,42,1,0,2
S01006702,672,7,25,5,2,0
S01006703,492,2,65,12,1,4
S01006704,472,3,25,4,0,7
S01006705,748,8,26,6,0,7
S01006706,531,3,35,7,0,2
S01006707,408,9,25,6,0,9
S01006708,699,2,52,12,1,4
S01006709,779,14,44,14,4,16
S01006710,777,7,10,17,1,0
S01006711,799,10,4,16,0,1
S01006712,468,5,18,0,1,3
