Intermediate Zone - Data Zone 2011,All occupied household spaces,One person,Two people,Three people,Four people,Five people,Six people,Seven people,Eight or more people
S01006506,491,208,178,47,43,15,1,0,0
S01006507,366,132,139,51,28,6,0,1,1
S01006508,292,143,88,31,23,4,1,1,0
S01006509,270,101,103,30,25,8,0,2,2
S01006510,297,139,78,36,36,7,1,0,0
S01006511,310,81,126,47,46,4,3,0,0
S01006512,255,58,120,28,32,11,0,0,0
S01006513,417,96,156,58,78,30,1,0,0
S01006514,376,61,149,65,74,20,6,0,2
S01006515,279,41,106,48,62,16,1,0,0
S01006516,196,45,88,28,20,14,0,1,0
S01006517,831,161,338,159,119,40,1,4,0
S01006518,250,43,111,32,41,19,2,0,0
S01006519,292,45,119,57,57,10,3,0,2
S01006520,231,20,81,38,61,23,5,0,0
S01006521,288,65,108,49,53,10,3,0,1
S01006522,268,57,94,40,54,21,0,0,1
S01006523,410,160,124,57,55,15,2,0,0
S01006524,385,172,110,40,44,18,2,2,0
S01006525,367,136,116,50,52,12,2,0,0
S01006526,435,184,138,59,35,14,5,1,0
S01006527,340,116,99,65,42,18,6,0,0
S01006528,487,207,131,65,45,23,5,10,1
S01006529,516,296,138,45,23,8,4,1,1
S01006530,348,161,89,50,27,21,3,1,0
S01006531,416,187,111,56,42,17,11,0,3
S01006532,310,131,105,36,27,10,3,0,0
S01006533,324,97,131,51,43,6,0,0,0
S01006534,412,150,148,43,60,12,2,1,0
S01006535,588,334,169,41,34,7,1,1,1
S01006536,514,347,130,21,12,4,0,0,0
S01006537,349,105,144,46,46,6,3,0,0
S01006538,242,56,116,26,35,7,2,0,0
S01006539,343,124,132,42,41,4,0,0,0
S01006540,429,167,161,53,39,3,3,0,0
S01006541,428,197,132,40,51,7,1,0,0
S01006542,517,198,180,63,66,8,0,0,1
S01006543,360,116,142,55,39,7,1,0,0
S01006544,516,214,188,57,42,12,0,0,0
S01006545,567,312,160,43,43,8,1,0,0
S01006546,264,78,108,43,30,7,0,0,0
S01006547,1008,358,295,150,161,32,12,2,0
S01006548,310,87,126,61,30,7,4,0,0
S01006549,399,133,142,58,47,9,7,0,0
S01006550,386,106,173,52,46,6,0,0,0
S01006551,320,194,74,26,20,5,1,0,0
S01006552,458,171,174,63,39,9,0,0,0
S01006553,398,164,145,38,35,10,2,2,0
S01006554,380,147,136,48,39,12,2,0,0
S01006555,234,135,55,19,22,0,3,0,0
S01006556,391,185,112,52,32,8,4,0,0
S01006557,389,181,115,50,30,9,3,0,1
S01006558,349,206,96,29,15,3,0,0,0
S01006559,255,105,89,35,24,4,0,0,2
S01006560,458,186,145,48,65,12,3,0,0
S01006561,333,96,119,46,54,17,1,0,0
S01006562,423,156,132,55,61,20,2,0,0
S01006563,413,174,131,53,47,9,2,1,0
S01006564,528,341,116,44,18,6,1,2,0
S01006565,451,315,101,17,11,4,0,1,0
S01006566,461,257,137,40,27,0,0,0,0
S01006567,481,335,112,21,12,2,0,0,0
S01006568,603,417,133,35,9,10,3,0,0
S01006569,289,166,81,18,17,6,1,0,0
S01006570,361,160,113,40,38,6,1,0,0
S01006571,521,205,210,58,33,8,2,1,1
S01006572,377,103,142,53,55,21,1,0,0
S01006573,292,72,107,48,51,9,4,0,1
S01006574,431,150,145,54,53,21,6,2,0
S01006575,408,153,133,52,58,15,1,0,0
S01006576,322,146,78,43,45,6,2,0,0
S01006577,429,241,108,46,23,11,0,0,0
S01006578,636,397,160,48,25,5,1,0,0
S01006579,550,350,145,29,21,2,0,0,0
S01006580,405,255,88,36,16,6,0,0,0
S01006581,390,125,154,51,50,10,0,1,0
S01006582,519,278,178,24,21,11,2,1,0
S01006583,405,214,138,44,6,2,0,0,0
S01006584,398,240,122,21,13,2,0,0,0
S01006585,507,307,130,39,16,10,5,0,0
S01006586,844,616,164,41,9,3,4,0,0
S01006587,390,240,111,21,10,3,1,0,0
S01006588,405,254,109,27,9,6,0,0,0
S01006589,360,191,121,23,18,2,0,2,0
S01006590,399,226,126,27,7,6,5,1,0
S01006591,374,188,126,35,15,12,0,0,0
S01006592,354,167,133,22,27,4,0,0,0
S01006593,364,196,114,30,19,5,0,0,0
S01006594,353,249,76,16,11,1,0,0,0
S01006595,526,315,154,28,22,5,2,0,0
S01006596,400,201,127,32,28,9,1,0,0
S01006597,321,230,74,9,8,0,0,0,0
S01006598,379,115,149,50,49,5,5,0,0
S01006599,521,321,153,34,11,1,0,0,1
S01006600,561,310,160,43,39,3,0,1,0
S01006601,507,283,137,32,31,14,1,4,1
S01006602,408,167,150,47,36,8,0,0,0
S01006603,318,137,96,39,33,8,5,0,3
S01006604,293,98,114,48,27,4,3,1,0
S01006605,357,177,92,46,29,8,0,1,0
S01006606,385,151,150,46,29,6,1,1,0
S01006607,366,117,111,63,54,9,8,1,0
S01006608,1022,256,372,204,160,30,2,0,0
S01006609,436,175,145,74,33,9,1,0,1
S01006610,240,97,87,36,18,2,0,0,0
S01006611,433,173,138,67,40,11,1,0,0
S01006612,358,125,136,57,38,7,1,0,0
S01006613,234,92,82,30,21,8,1,0,0
S01006614,261,80,84,45,39,12,1,1,0
S01006615,264,30,90,54,75,14,3,1,0
S01006616,325,122,127,38,30,4,2,0,0
S01006617,359,126,139,48,40,7,1,0,0
S01006618,225,81,101,27,16,0,0,0,0
S01006619,335,117,109,54,43,9,2,0,1
S01006620,369,126,154,45,31,2,2,0,0
S01006621,231,93,81,25,26,4,1,0,0
S01006622,304,123,111,41,21,7,0,0,0
S01006623,460,163,158,82,45,10,2,0,0
S01006624,548,313,156,30,29,15,0,0,0
S01006625,268,108,104,30,22,2,2,2,0
S01006626,283,153,80,31,14,2,2,0,0
S01006627,454,293,122,34,4,4,0,0,0
S01006628,529,370,112,23,22,5,0,0,0
S01006629,348,119,115,55,37,18,3,0,0
S01006630,303,101,105,42,37,13,4,1,0
S01006631,477,238,132,55,31,11,5,1,0
S01006632,372,203,96,50,18,5,0,0,0
S01006633,280,119,66,33,35,18,4,0,0
S01006634,246,102,67,33,16,14,9,0,0
S01006635,298,122,97,39,27,12,1,4,0
S01006636,388,184,90,48,40,19,4,5,0
S01006637,358,206,103,27,19,2,0,0,0
S01006638,503,328,131,30,6,5,3,0,0
S01006639,614,401,147,46,16,1,1,0,0
S01006640,477,204,172,52,26,17,5,1,0
S01006641,602,339,180,48,28,7,0,0,1
S01006642,495,277,172,35,5,3,1,0,0
S01006643,372,217,114,34,6,1,0,0,0
S01006644,634,299,270,38,19,6,2,1,0
S01006645,361,217,96,27,18,2,1,0,0
S01006646,319,186,88,29,8,6,1,0,0
S01006647,333,174,93,45,14,9,0,1,0
S01006648,608,380,164,34,18,7,0,1,0
S01006649,586,351,150,54,24,6,1,0,0
S01006650,393,224,107,31,16,9,0,0,0
S01006651,348,228,80,28,7,5,1,0,0
S01006652,327,151,135,26,14,1,0,0,0
S01006653,313,153,103,26,16,6,0,2,3
S01006654,467,265,146,39,11,3,2,0,0
S01006655,524,251,178,46,39,9,2,0,0
S01006656,490,256,152,38,39,8,0,0,0
S01006657,256,137,82,23,7,4,1,0,2
S01006658,744,357,215,107,43,16,4,2,0
S01006659,328,158,92,48,21,6,2,0,0
S01006660,226,101,56,30,13,18,4,2,2
S01006661,242,107,79,28,18,6,2,1,0
S01006662,270,110,59,59,19,17,6,2,0
S01006663,239,106,70,29,17,15,2,0,0
S01006664,229,102,84,17,16,4,2,0,0
S01006665,368,205,105,34,16,9,0,1,0
S01006666,671,392,193,56,23,3,0,0,0
S01006667,434,285,101,28,15,3,2,0,0
S01006668,409,198,156,33,11,7,2,0,0
S01006669,429,262,120,31,11,4,1,0,1
S01006670,387,247,118,14,5,1,1,0,0
S01006671,212,96,80,27,10,1,0,0,1
S01006672,340,171,91,39,25,6,5,0,0
S01006673,387,200,127,34,23,2,0,0,0
S01006674,499,326,113,40,17,1,2,0,0
S01006675,341,119,97,61,44,11,7,1,0
S01006676,321,165,85,48,21,5,1,0,0
S01006677,544,264,169,63,31,13,4,0,0
S01006678,727,290,210,122,68,26,11,0,0
S01006679,307,125,131,33,16,2,0,0,0
S01006680,439,207,106,65,53,6,2,1,0
S01006681,458,286,115,31,16,3,1,2,0
S01006682,376,149,88,51,55,22,8,3,0
S01006683,364,130,94,61,46,19,12,2,0
S01006684,390,241,94,27,21,4,3,0,1
S01006685,341,200,93,30,9,0,0,1,0
S01006686,263,127,92,28,12,3,2,0,0
S01006687,402,188,147,37,27,0,1,0,0
S01006688,495,269,147,39,28,12,0,0,0
S01006689,535,219,177,69,46,19,6,0,3
S01006690,299,139,87,45,20,6,0,0,0
S01006691,338,152,120,42,15,12,0,0,0
S01006692,339,143,131,24,24,11,1,2,0
S01006693,548,274,162,62,34,13,3,0,0
S01006694,530,311,137,45,29,8,0,0,0
S01006695,321,120,106,41,37,13,3,0,1
S01006696,365,163,100,51,34,13,3,0,0
S01006697,399,176,141,45,24,10,2,0,1
S01006698,396,248,90,33,18,3,2,0,4
S01006699,196,73,74,19,22,7,0,0,0
S01006700,393,192,126,26,36,11,2,0,0
S01006701,316,129,109,53,21,7,0,0,0
S01006702,328,106,131,40,33,12,2,1,0
S01006703,280,110,90,47,28,6,2,0,0
S01006704,275,131,86,31,21,5,1,0,0
S01006705,404,171,122,68,36,5,0,1,0
S01006706,273,104,75,59,24,9,2,0,0
S01006707,220,73,88,33,24,1,1,0,0
S01006708,374,147,116,66,37,8,0,1,0
S01006709,435,199,127,55,40,15,3,0,0
S01006710,413,154,164,67,22,8,1,0,0
S01006711,445,217,127,52,41,4,0,0,0
S01006712,248,89,103,32,18,5,4,0,0
S01006713,448,174,156,65,43,9,1,0,0
S01006714,309,129,93,39,34,13,0,0,0
S01006715,212,40,62,56,36,13,4,1,0
S01006716,234,70,74,46,29,12,3,0,1
S01006717,426,162,139,58,55,9,2,2,0
S01006718,246,54,97,53,26,9,3,0,1
S01006719,374,87,128,69,67,16,6,0,0
S01006720,258,78,96,41,23,13,7,0,0
S01006721,338,106,124,56,38,11,2,1,0
S01006722,293,90,103,48,42,11,5,1,0
S01006723,275,98,90,43,36,4,3,0,0
S01006724,314,70,92,66,60,16,3,2,0
S01006725,267,79,88,40,45,12,5,0,0
S01006726,262,68,75,73,30,12,4,0,0
S01006727,469,188,117,88,43,17,11,4,2
S01006728,331,97,122,63,40,11,0,0,0
S01006729,436,149,110,75,55,39,10,0,0
S01006730,266,53,101,60,34,16,2,1,0
S01006731,261,121,76,34,24,5,1,0,0
S01006732,738,226,297,98,89,21,5,0,0
S01006733,323,50,124,62,65,14,4,0,0
S01006734,355,86,107,65,78,12,0,0,0
S01006735,243,77,103,26,30,3,1,0,0
S01006736,397,73,114,104,89,12,3,2,0
S01006737,643,140,257,113,105,19,1,4,0
S01006738,863,428,265,82,63,19,5,0,0
S01006739,812,301,243,127,101,25,8,5,0
S01006740,329,133,99,53,32,9,4,0,0
S01006741,336,153,102,41,31,5,0,0,0
S01006742,227,108,61,29,23,3,4,0,1
S01006743,440,191,154,46,39,14,0,0,0
S01006744,291,141,103,30,13,3,1,0,0
S01006745,463,210,142,73,30,4,3,2,0
S01006746,387,139,133,62,45,11,0,0,0
S01006747,483,130,170,88,72,18,4,0,0
S01006748,791,336,259,109,57,21,9,0,0
S01006749,411,143,150,59,37,15,1,1,0
