Intermediate Zone - Data Zone 2011,"Managers, Directors and Senior Officials - Total",Professional Occupations - Total,Associate Professional and Technical Occupations - Total,Administrative and Secretarial Occupations - Total,Skilled Trade Occupations - Total,"Caring, Leisure and Other Service Occupations - Total",Sales and Customer Service Occupations - Total,"Process, Plant and Machine Operatives - Total",Elementary Occupations - Total
S01006506,27,107,90,43,67,54,24,30,45
S01006507,21,89,36,40,41,33,16,21,34
S01006508,28,80,57,38,28,25,19,17,27
S01006509,23,66,39,27,30,24,22,11,28
S01006510,19,74,36,24,44,32,18,15,25
S01006511,28,83,64,34,26,17,18,9,22
S01006512,26,80,42,24,24,21,9,10,13
S01006513,54,206,77,46,31,19,13,13,14
S01006514,62,160,81,49,33,21,18,16,30
S01006515,47,143,59,35,24,19,11,8,16
S01006516,40,76,32,13,19,32,4,6,16
S01006517,121,372,165,123,88,62,54,55,51
S01006518,53,90,41,21,10,16,5,4,16
S01006519,61,137,54,35,12,13,12,11,10
S01006520,39,136,55,21,10,11,20,7,15
S01006521,67,124,65,23,14,5,12,6,7
S01006522,27,159,51,21,15,18,9,6,13
S01006523,43,137,54,33,23,20,11,16,19
S01006524,45,118,55,28,23,40,12,33,20
S01006525,49,113,47,22,21,22,17,8,20
S01006526,22,64,48,35,46,64,37,32,51
S01006527,24,72,63,45,33,44,31,40,72
S01006528,20,80,61,55,44,74,50,44,87
S01006529,28,82,47,37,50,46,42,28,68
S01006530,15,45,31,27,36,43,33,27,53
S01006531,15,63,57,27,33,46,47,19,72
S01006532,28,111,49,32,26,16,12,8,26
S01006533,61,135,61,37,26,10,12,10,13
S01006534,55,164,66,47,23,26,20,9,27
S01006535,47,179,110,55,39,47,41,34,49
S01006536,33,135,93,55,38,33,32,20,35
S01006537,37,142,69,34,23,10,14,11,11
S01006538,26,85,52,34,22,23,14,11,17
S01006539,56,107,65,45,26,15,17,15,9
S01006540,48,150,74,54,32,39,17,16,32
S01006541,39,135,59,41,19,17,11,15,18
S01006542,47,155,75,56,39,32,23,22,26
S01006543,43,137,63,42,27,13,14,12,23
S01006544,81,205,106,50,36,21,28,21,20
S01006545,46,183,92,46,29,12,18,24,22
S01006546,29,103,54,31,14,14,8,5,11
S01006547,145,343,174,91,87,65,46,54,70
S01006548,37,124,48,45,27,16,13,12,12
S01006549,93,128,60,42,29,17,13,12,19
S01006550,47,137,63,50,23,14,12,18,14
S01006551,20,47,32,30,29,24,10,16,41
S01006552,34,140,70,61,36,34,29,30,42
S01006553,29,88,35,28,36,27,15,21,38
S01006554,24,93,70,34,38,43,23,29,47
S01006555,13,28,28,17,20,26,14,27,27
S01006556,14,46,44,37,35,55,28,41,50
S01006557,11,50,39,35,50,53,33,43,52
