Data zone code,Data zone name,Total population
S01006506,Culter - 01,985
S01006507,Culter - 02,767
S01006508,Culter - 03,537
S01006509,Culter - 04,558
S01006510,Culter - 05,622
S01006511,Culter - 06,711
S01006512,Culter - 07,613
S01006513,"Cults, Bieldside and Milltimber West - 01",1148
S01006514,"Cults, Bieldside and Milltimber West - 02",1056
S01006515,"Cults, Bieldside and Milltimber West - 03",746
S01006516,"Cults, Bieldside and Milltimber West - 04",616
S01006517,"Cults, Bieldside and Milltimber West - 05",2145
S01006518,"Cults, Bieldside and Milltimber East - 01",654
S01006519,"Cults, Bieldside and Milltimber East - 02",832
S01006520,"Cults, Bieldside and Milltimber East - 03",684
S01006521,"Cults, Bieldside and Milltimber East - 04",723
S01006522,"Cults, Bieldside and Milltimber East - 05",702
S01006523,"Cults, Bieldside and Milltimber East - 06",884
S01006524,"Cults, Bieldside and Milltimber East - 07",1052
S01006525,"Cults, Bieldside and Milltimber East - 08",816
S01006526,Garthdee - 01,861
S01006527,Garthdee - 02,901
S01006528,Garthdee - 03,1128
S01006529,Garthdee - 04,874
S01006530,Garthdee - 05,702
S01006531,Garthdee - 06,909
S01006532,"Braeside, Mannofield, Broomhill and Seafield East - 01",661
S01006533,"Braeside, Mannofield, Broomhill and Seafield East - 02",706
S01006534,"Braeside, Mannofield, Broomhill and Seafield East - 03",882
S01006535,"Braeside, Mannofield, Broomhill and Seafield East - 04",985
S01006536,"Braeside, Mannofield, Broomhill and Seafield East - 05",718
S01006537,"Braeside, Mannofield, Broomhill and Seafield South - 01",838
S01006538,"Braeside, Mannofield, Broomhill and Seafield South - 02",564
S01006539,"Braeside, Mannofield, Broomhill and Seafield South - 03",727
S01006540,"Braeside, Mannofield, Broomhill and Seafield South - 04",855
S01006541,"Braeside, Mannofield, Broomhill and Seafield South - 05",820
S01006542,"Braeside, Mannofield, Broomhill and Seafield North - 01",1090
S01006543,"Braeside, Mannofield, Broomhill and Seafield North - 02",755
S01006544,"Braeside, Mannofield, Broomhill and Seafield North - 03",1080
S01006545,"Braeside, Mannofield, Broomhill and Seafield North - 04",999
S01006546,"Braeside, Mannofield, Broomhill and Seafield North - 05",583
S01006547,Hazlehead - 01,2326
S01006548,Hazlehead - 02,681
S01006549,Hazlehead - 03,855
S01006550,Hazlehead - 04,879
S01006551,Hazlehead - 05,541
S01006552,Hazlehead - 06,908
S01006553,Summerhill - 01,807
S01006554,Summerhill - 02,796
S01006555,Summerhill - 03,426
S01006556,Summerhill - 04,745
S01006557,Summerhill - 05,746
S01006558,Midstocket - 01,548
S01006559,Midstocket - 02,526
S01006560,Midstocket - 03,944
S01006561,Midstocket - 04,788
S01006562,Midstocket - 05,949
S01006563,Midstocket - 06,874
S01006564,Rosemount - 01,832
S01006565,Rosemount - 02,751
S01006566,Rosemount - 03,762
S01006567,Rosemount - 04,686
S01006568,Rosemount - 05,888
S01006569,Rosemount - 06,486
S01006570,Rosemount - 07,691
S01006571,West End North - 01,1020
S01006572,West End North - 02,880
S01006573,West End North - 03,710
S01006574,West End North - 04,986
S01006575,West End South - 01,889
S01006576,West End South - 02,676
S01006577,West End South - 03,739
S01006578,West End South - 04,986
S01006579,West End South - 05,824
S01006580,West End South - 06,644
S01006581,West End South - 07,865
S01006582,City Centre West - 01,905
S01006583,City Centre West - 02,846
S01006584,City Centre West - 03,602
S01006585,City Centre West - 04,829
S01006586,City Centre West - 05,1164
S01006587,City Centre East - 01,615
S01006588,City Centre East - 02,667
S01006589,City Centre East - 03,612
S01006590,City Centre East - 04,737
S01006591,Ferryhill North - 01,666
S01006592,Ferryhill North - 02,634
S01006593,Ferryhill North - 03,629
S01006594,Ferryhill North - 04,513
S01006595,Ferryhill North - 05,847
S01006596,Ferryhill North - 06,742
S01006597,Ferryhill North - 07,450
S01006598,Ferryhill South - 01,822
S01006599,Ferryhill South - 02,792
S01006600,Ferryhill South - 03,1084
S01006601,Ferryhill South - 04,892
S01006602,Ferryhill South - 05,806
S01006603,"Kincorth, Leggart and Nigg North - 01",647
S01006604,"Kincorth, Leggart and Nigg North - 02",621
S01006605,"Kincorth, Leggart and Nigg North - 03",680
S01006606,"Kincorth, Leggart and Nigg North - 04",760
S01006607,"Kincorth, Leggart and Nigg North - 05",837
S01006608,"Kincorth, Leggart and Nigg South - 01",2437
S01006609,"Kincorth, Leggart and Nigg South - 02",879
S01006610,"Kincorth, Leggart and Nigg South - 03",464
S01006611,"Kincorth, Leggart and Nigg South - 04",893
S01006612,"Kincorth, Leggart and Nigg South - 05",734
S01006613,Cove South - 01,482
S01006614,Cove South - 02,606
S01006615,Cove South - 03,779
S01006616,Cove South - 04,637
S01006617,Cove South - 05,748
S01006618,Cove South - 06,435
S01006619,Cove North - 01,739
S01006620,Cove North - 02,768
S01006621,Cove North - 03,466
S01006622,Cove North - 04,593
S01006623,Cove North - 05,973
S01006624,Torry West - 01,929
S01006625,Torry West - 02,520
S01006626,Torry West - 03,499
S01006627,Torry West - 04,669
S01006628,Torry West - 05,766
S01006629,Torry West - 06,858
S01006630,Torry West - 07,683
S01006631,Torry East - 01,912
S01006632,Torry East - 02,637
S01006633,Torry East - 03,633
S01006634,Torry East - 04,525
S01006635,Torry East - 05,615
S01006636,Torry East - 06,803
S01006637,Hanover South - 01,576
S01006638,Hanover South - 02,748
S01006639,Hanover South - 03,920
S01006640,Hanover South - 04,890
S01006641,Hanover North - 01,997
S01006642,Hanover North - 02,1313
S01006643,Hanover North - 03,586
S01006644,Hanover North - 04,1040
S01006645,George Street - 01,576
S01006646,George Street - 02,1033
S01006647,George Street - 03,602
S01006648,George Street - 04,1224
S01006649,George Street - 05,954
S01006650,George Street - 06,645
S01006651,George Street - 07,854
S01006652,George Street - 08,948
S01006653,Ashgrove - 01,580
S01006654,Ashgrove - 02,762
S01006655,Ashgrove - 03,1051
S01006656,Ashgrove - 04,898
S01006657,Ashgrove - 05,440
S01006658,"Froghall, Powis and Sunnybank - 01",1390
S01006659,"Froghall, Powis and Sunnybank - 02",611
S01006660,"Froghall, Powis and Sunnybank - 03",499
S01006661,"Froghall, Powis and Sunnybank - 04",480
S01006662,"Froghall, Powis and Sunnybank - 05",682
S01006663,"Froghall, Powis and Sunnybank - 06",469
S01006664,"Froghall, Powis and Sunnybank - 07",429
S01006665,"Froghall, Powis and Sunnybank - 08",876
S01006666,Seaton - 01,1058
S01006667,Seaton - 02,655
S01006668,Seaton - 03,795
S01006669,Seaton - 04,930
S01006670,Seaton - 05,1282
S01006671,Old Aberdeen - 01,1877
S01006672,Old Aberdeen - 02,687
S01006673,Old Aberdeen - 03,753
S01006674,Old Aberdeen - 04,766
S01006675,Tillydrone - 01,773
S01006676,Tillydrone - 02,586
S01006677,Tillydrone - 03,1014
S01006678,Tillydrone - 04,1544
S01006679,Tillydrone - 05,559
S01006680,Tillydrone - 06,880
S01006681,Woodside - 01,870
S01006682,Woodside - 02,875
S01006683,Woodside - 03,896
S01006684,Woodside - 04,634
S01006685,Woodside - 05,525
S01006686,Hilton - 01,458
S01006687,Hilton - 02,736
S01006688,Hilton - 03,845
S01006689,Hilton - 04,1073
S01006690,Hilton - 05,542
S01006691,Hilton - 06,626
S01006692,Hilton - 07,651
S01006693,Hilton - 08,1035
S01006694,Stockethill - 01,888
S01006695,Stockethill - 02,703
S01006696,Stockethill - 03,718
S01006697,Stockethill - 04,756
S01006698,Stockethill - 05,631
S01006699,Stockethill - 06,392
S01006700,Stockethill - 07,744
S01006701,Mastrick - 01,601
S01006702,Mastrick - 02,716
S01006703,Mastrick - 03,580
S01006704,Mastrick - 04,520
S01006705,Mastrick - 05,788
S01006706,Mastrick - 06,580
S01006707,Mastrick - 07,463
S01006708,Sheddocksley - 01,770
S01006709,Sheddocksley - 02,846
S01006710,Sheddocksley - 03,815
S01006711,Sheddocksley - 04,828
S01006712,Sheddocksley - 05,503
S01006713,Sheddocksley - 06,904
S01006714,Cummings Park - 01,659
S01006715,Cummings Park - 02,581
S01006716,Cummings Park - 03,549
S01006717,Cummings Park - 04,893
S01006718,Cummings Park - 05,593
S01006719,Northfield - 01,956
S01006720,Northfield - 02,576
S01006721,Northfield - 03,742
S01006722,Northfield - 04,673
S01006723,Northfield - 05,611
S01006724,Northfield - 06,828
S01006725,Northfield - 07,636
S01006726,Heathryfold and Middlefield - 01,646
S01006727,Heathryfold and Middlefield - 02,1124
S01006728,Heathryfold and Middlefield - 03,744
S01006729,Heathryfold and Middlefield - 04,1054
S01006730,Heathryfold and Middlefield - 05,641
S01006731,Heathryfold and Middlefield - 06,499
S01006732,Kingswells - 01,1646
S01006733,Kingswells - 02,850
S01006734,Kingswells - 03,951
S01006735,Kingswells - 04,522
S01006736,Kingswells - 05,1063
S01006737,Kingswells - 06,1559
S01006738,Bucksburn South - 01,1628
S01006739,Bucksburn South - 02,1809
S01006740,Bucksburn South - 03,691
S01006741,Bucksburn South - 04,639
S01006742,Bucksburn South - 05,468
S01006743,Bucksburn North - 01,853
S01006744,Bucksburn North - 02,503
S01006745,Bucksburn North - 03,873
S01006746,Bucksburn North - 04,852
S01006747,Bucksburn North - 05,1174
S01006748,Bucksburn North - 06,1684
S01006749,Dyce - 01,881
S01006750,Dyce - 02,656
S01006751,Dyce - 03,395
S01006752,Dyce - 04,639
S01006753,Dyce - 05,930
S01006754,Dyce - 06,827
S01006755,Dyce - 07,746
S01006756,Danestone - 01,751
S01006757,Danestone - 02,784
S01006758,Danestone - 03,611
S01006759,Danestone - 04,514
S01006760,Danestone - 05,467
S01006761,Danestone - 06,647
S01006762,Oldmachar West - 01,1663
S01006763,Oldmachar West - 02,833
S01006764,Oldmachar West - 03,695
S01006765,Oldmachar West - 04,560
S01006766,Oldmachar West - 05,544
S01006767,Oldmachar West - 06,639
S01006768,Oldmachar East - 01,562
S01006769,Oldmachar East - 02,884
S01006770,Oldmachar East - 03,616
S01006771,Oldmachar East - 04,390
S01006772,Oldmachar East - 05,770
S01006773,Oldmachar East - 06,916
S01006774,Oldmachar East - 07,531
S01006775,Balgownie and Donmouth West - 01,927
S01006776,Balgownie and Donmouth West - 02,512
S01006777,Balgownie and Donmouth West - 03,599
S01006778,Balgownie and Donmouth West - 04,569
S01006779,Balgownie and Donmouth West - 05,511
S01006780,Balgownie and Donmouth West - 06,462
S01006781,Balgownie and Donmouth East - 01,591
S01006782,Balgownie and Donmouth East - 02,817
S01006783,Balgownie and Donmouth East - 03,471
S01006784,Balgownie and Donmouth East - 04,543
S01006785,Denmore - 01,497
S01006786,Denmore - 02,768
S01006787,Denmore - 03,586
S01006788,Denmore - 04,2208
S01006789,East Cairngorms - 01,553
S01006790,East Cairngorms - 02,824
S01006791,East Cairngorms - 03,595
S01006792,East Cairngorms - 04,422
S01006793,East Cairngorms - 05,590
S01006794,Aboyne and South Deeside - 01,556
S01006795,Aboyne and South Deeside - 02,752
S01006796,Aboyne and South Deeside - 03,964
S01006797,Aboyne and South Deeside - 04,576
S01006798,Aboyne and South Deeside - 05,608
S01006799,Aboyne and South Deeside - 06,874
S01006800,Aboyne and South Deeside - 07,862
S01006801,Mearns and Laurencekirk - 01,1444
S01006802,Mearns and Laurencekirk - 02,787
S01006803,Mearns and Laurencekirk - 03,642
S01006804,Mearns and Laurencekirk - 04,751
S01006805,Mearns and Laurencekirk - 05,1109
S01006806,Mearns South and Benholm - 01,1121
S01006807,Mearns South and Benholm - 02,680
S01006808,Mearns South and Benholm - 03,712
S01006809,Mearns South and Benholm - 04,847
S01006810,Mearns South and Benholm - 05,898
S01006811,Mearns North and Inverbervie - 01,1116
S01006812,Mearns North and Inverbervie - 02,909
S01006813,Mearns North and Inverbervie - 03,834
S01006814,Mearns North and Inverbervie - 04,769
S01006815,Mearns North and Inverbervie - 05,601
S01006816,Mearns North and Inverbervie - 06,615
