Intermediate Zone - Data Zone 2011,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Owned: Shared Equity (e.g. LIFT or Help-to-Buy),Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,Private rented,Lives Rent Free
S01006506,169,155,2,7,43,101,11
S01006507,157,110,0,0,78,24,2
S01006508,89,130,2,2,27,39,3
S01006509,88,90,9,6,54,22,1
S01006510,110,75,1,2,72,29,4
S01006511,175,84,0,2,28,13,5
S01006512,163,76,0,1,3,6,2
S01006513,204,191,0,1,6,14,1
S01006514,193,149,0,0,8,24,2
S01006515,125,122,0,0,7,21,2
S01006516,111,61,0,0,3,18,2
S01006517,224,400,0,1,150,48,8
S01006518,150,81,1,2,0,13,4
S01006519,170,101,1,0,0,18,3
S01006520,108,95,0,0,2,19,0
S01006521,155,84,0,0,4,46,4
S01006522,133,116,0,0,1,16,2
S01006523,217,126,0,2,13,55,2
S01006524,193,89,1,0,33,55,14
S01006525,191,106,0,1,28,33,6
S01006526,79,89,4,1,180,80,0
S01006527,87,84,1,1,122,47,2
S01006528,117,98,4,3,155,109,7
S01006529,97,90,6,3,116,193,10
S01006530,79,65,2,3,135,59,8
S01006531,81,80,0,1,172,74,8
S01006532,147,95,0,1,15,45,7
S01006533,163,124,0,0,2,31,5
S01006534,186,142,0,1,5,75,2
S01006535,177,169,0,2,13,219,7
S01006536,153,143,0,0,22,189,6
S01006537,210,117,0,1,1,15,5
S01006538,137,89,0,0,3,7,3
S01006539,197,111,0,0,4,28,4
S01006540,193,159,0,5,2,67,3
S01006541,201,131,0,4,68,29,3
S01006542,289,148,0,3,8,59,10
S01006543,203,133,0,0,2,19,5
S01006544,175,151,2,0,9,173,6
S01006545,266,152,1,0,41,88,14
S01006546,155,80,0,0,1,24,3
S01006547,296,360,1,5,250,84,12
S01006548,178,113,0,0,4,10,7
S01006549,215,120,2,0,7,51,2
S01006550,238,114,2,0,5,20,9
S01006551,86,70,4,0,124,26,9
S01006552,229,135,0,4,14,73,2
S01006553,163,91,0,5,114,22,6
