Data Zone 2011,All occupied households,Whole house or bungalow: Total,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure
S01006506,491,236,133,68,37,256,213,32,7,1
S01006507,366,293,84,66,143,72,72,0,0,1
S01006508,292,81,33,25,26,211,204,10,0,0
S01006509,270,185,36,73,70,88,88,0,0,0
S01006510,297,182,47,112,26,115,114,5,0,0
S01006511,310,292,92,179,21,18,14,3,1,0
S01006512,255,213,168,29,16,4,1,1,0,38
S01006513,417,340,145,160,36,75,75,0,0,0
S01006514,376,357,276,75,3,19,16,3,0,0
S01006515,279,267,194,65,5,9,8,1,0,1
S01006516,196,188,117,50,21,8,7,1,0,0
S01006517,831,713,374,195,143,118,110,6,2,0
S01006518,250,240,212,26,2,10,5,3,1,0
S01006519,292,287,259,18,10,5,4,1,0,0
S01006520,231,221,208,7,3,10,10,0,0,0
S01006521,288,260,163,57,40,28,22,5,0,0
S01006522,268,258,126,119,15,8,3,8,0,0
S01006523,410,243,84,134,27,170,152,17,2,0
S01006524,385,231,161,58,16,154,147,5,1,0
S01006525,367,289,182,57,53,75,69,5,1,0
S01006526,435,223,15,77,134,212,210,2,0,0
S01006527,340,295,40,149,106,43,43,1,0,0
S01006528,487,315,18,145,152,172,166,7,0,0
S01006529,516,130,9,86,35,385,368,16,1,0
S01006530,348,171,3,117,48,181,175,6,0,0
S01006531,416,174,15,73,82,246,236,10,0,0
S01006532,310,224,43,138,43,86,76,13,0,0
S01006533,324,247,52,100,95,77,56,20,1,0
S01006534,412,251,43,116,92,161,128,33,0,0
S01006535,588,168,28,72,65,420,380,41,5,0
S01006536,514,105,14,31,59,411,352,55,3,0
S01006537,349,317,76,214,27,32,29,2,0,0
S01006538,242,238,56,166,17,3,3,0,0,0
S01006539,343,278,19,214,43,69,55,10,0,0
S01006540,429,320,40,266,18,109,107,3,0,0
S01006541,428,350,46,257,47,78,71,6,2,0
S01006542,517,362,109,240,13,156,155,0,0,0
S01006543,360,356,17,327,12,4,4,0,0,0
S01006544,516,261,98,109,54,253,228,17,7,0
S01006545,567,307,74,159,67,263,256,6,1,0
S01006546,264,244,52,187,1,23,23,0,0,0
S01006547,1008,718,419,164,135,289,279,7,1,1
S01006548,310,303,24,277,2,9,6,2,0,0
S01006549,399,317,168,142,7,78,72,6,1,0
S01006550,386,378,147,220,11,8,7,3,0,0
S01006551,320,169,33,42,94,151,143,8,0,0
S01006552,458,338,101,167,70,124,124,0,0,0
S01006553,398,327,150,87,90,71,70,1,0,0
S01006554,380,202,67,81,54,178,179,1,2,0
S01006555,234,105,11,56,41,132,132,0,0,0
S01006556,391,237,15,94,128,153,149,2,2,0
S01006557,389,189,17,48,124,204,199,0,2,0
S01006558,349,97,9,11,77,248,211,41,0,0
S01006559,255,121,16,61,44,138,101,35,1,0
S01006560,458,232,29,113,90,225,173,52,0,2
S01006561,333,249,44,121,81,84,64,20,0,0
S01006562,423,290,124,107,59,133,126,5,0,0
S01006563,413,218,26,107,85,197,172,22,1,0
S01006564,528,25,7,11,14,499,490,8,1,0
S01006565,451,23,1,9,11,425,409,13,2,0
S01006566,461,106,6,39,60,356,313,42,1,0
S01006567,481,24,7,7,10,457,423,29,5,0
S01006568,603,34,3,22,8,569,541,25,6,0
S01006569,289,73,2,18,51,216,189,26,2,0
S01006570,361,155,32,92,31,206,166,39,1,0
S01006571,521,217,13,54,150,304,220,70,10,0
S01006572,377,286,215,54,15,91,56,33,4,0
S01006573,292,185,20,94,75,107,75,35,1,0
S01006574,431,235,83,92,60,196,133,62,1,0
S01006575,408,234,23,119,92,174,138,34,3,1
S01006576,322,181,14,131,36,143,119,25,2,0
S01006577,429,115,10,41,64,314,281,30,2,0
S01006578,636,64,2,12,49,572,548,24,0,0
S01006579,550,27,6,12,9,520,498,16,4,0
S01006580,405,82,5,16,61,321,290,32,1,0
S01006581,390,265,67,143,55,125,101,24,0,0
S01006582,519,40,3,9,28,479,432,36,11,0
S01006583,405,6,0,1,0,398,397,3,1,0
S01006584,398,32,4,8,20,366,329,30,7,0
S01006585,507,27,2,8,15,480,453,17,10,0
S01006586,844,28,4,13,11,816,734,31,47,0
S01006587,390,20,4,6,6,374,339,24,11,0
S01006588,405,16,7,2,7,389,349,11,28,0
S01006589,360,14,3,10,1,346,338,4,6,0
S01006590,399,34,10,10,14,365,316,42,7,0
S01006591,374,48,3,7,38,326,304,21,0,0
S01006592,354,72,7,32,33,282,259,23,0,0
S01006593,364,54,6,8,38,310,274,35,1,0
S01006594,353,61,8,41,12,292,289,0,2,0
S01006595,526,61,6,15,40,465,447,17,2,0
S01006596,400,108,9,47,51,288,246,42,4,0
S01006597,321,13,1,7,5,308,300,12,1,0
S01006598,379,262,34,163,67,117,89,28,0,0
S01006599,521,85,19,47,19,436,421,15,0,0
S01006600,561,206,15,92,95,355,330,22,0,0
S01006601,507,212,9,156,45,294,269,25,0,1
S01006602,408,201,63,77,65,210,173,32,2,0
S01006603,318,208,21,61,122,113,107,3,4,0
S01006604,293,247,6,68,173,44,42,1,0,0
S01006605,357,127,10,62,53,230,227,3,0,0
S01006606,385,245,43,187,15,139,135,3,1,1
S01006607,366,200,11,87,102,166,164,1,0,0
S01006608,1022,829,356,188,285,190,178,8,7,1
S01006609,436,339,11,103,225,102,101,2,0,0
S01006610,240,145,6,46,93,95,95,2,0,0
S01006611,433,282,11,93,178,150,148,1,1,2
S01006612,358,337,96,64,177,24,25,2,0,0
S01006613,234,177,108,62,7,57,56,1,0,0
S01006614,261,257,65,140,52,4,3,1,0,0
S01006615,264,265,198,61,6,2,2,0,0,0
S01006616,325,248,79,121,43,80,78,2,0,0
S01006617,359,331,106,90,134,28,23,4,1,0
S01006618,225,198,84,105,10,27,25,0,2,0
S01006619,335,294,68,57,165,41,38,3,0,0
S01006620,369,348,31,118,199,20,18,1,1,0
S01006621,231,200,6,54,139,32,30,2,0,0
S01006622,304,220,19,113,88,84,81,3,1,0
