brand_id,fascia_id,brand,fascia,p25_m2,median_m2,p75_m2,min_m2,max_m2,sample_count,coefficient_of_variation
85d19d56-0a15-53b9-b6ad-63c01896eef8,2a042524-1c1b-5640-afc6-c96e2b844a4a,Aldi,Aldi,1466.0,1690.5,1803.2,577.0,3583.0,648,0.176
85d19d56-0a15-53b9-b6ad-63c01896eef8,,Aldi,,1456.5,1684.0,1802.0,577.0,3583.0,655,0.181
176c6b12-e5e2-5b3f-9ea7-3ae261dfe01a,494db915-a6a6-5656-86a3-13616221094c,Lidl,Lidl,1456.2,1778.5,2091.8,632.0,4986.0,594,0.278
176c6b12-e5e2-5b3f-9ea7-3ae261dfe01a,,Lidl,,1456.2,1778.5,2091.8,632.0,4986.0,594,0.278
efe3c586-f318-46c1-bfee-b200c0724996,58a24865-b21c-4e48-9fb2-89db09b8f7ed,Pret A Manger,Pret A Manger,179.0,257.0,342.5,81.0,722.0,195,0.451
efe3c586-f318-46c1-bfee-b200c0724996,,Pret A Manger,,179.0,257.0,342.5,81.0,722.0,195,0.451
6fd87440-3efa-4df5-a473-f3be257bf964,63c44b20-82b8-4321-9168-c5e274256e9c,Domino's,Domino's,89.2,113.0,149.0,41.0,359.0,426,0.431
6fd87440-3efa-4df5-a473-f3be257bf964,,Domino's,,89.2,113.0,149.0,41.0,359.0,426,0.431
693cb481-91c0-4cdc-9aa7-fe4f75796594,9f72ec0f-ad40-488a-a38e-bfefd8b9ed8f,Wetherspoons,Wetherspoons,538.8,728.5,991.5,30.0,1844.0,48,0.508
693cb481-91c0-4cdc-9aa7-fe4f75796594,,Wetherspoons,,538.8,728.5,991.5,30.0,1844.0,48,0.508
a6f7876c-3634-52bd-a53c-1c01cc6f904d,373f08e5-3157-5174-9646-4998eb76d180,Farmfoods,Farmfoods,486.0,684.5,919.0,235.0,1863.0,164,0.476
a6f7876c-3634-52bd-a53c-1c01cc6f904d,,Farmfoods,,486.0,684.5,919.0,235.0,1863.0,164,0.476
54b351c7-aea7-4362-a4bd-e4b7eb9a185a,f673f333-6284-4184-93f0-8198d6ca5158,Oxfam,Oxfam,98.0,136.0,181.0,48.0,373.0,221,0.418
54b351c7-aea7-4362-a4bd-e4b7eb9a185a,,Oxfam,,98.0,136.0,181.0,48.0,373.0,221,0.418
dfb1365f-aecd-46fc-96d2-ea71f970704d,4ff84afe-fc12-4f81-be3c-6b0f28cbcaaa,Poundland,Poundland,696.0,949.0,1355.0,290.0,2526.0,233,0.473
dfb1365f-aecd-46fc-96d2-ea71f970704d,,Poundland,,696.0,949.0,1355.0,290.0,2526.0,233,0.473
e2561044-bdb6-44c5-aeca-acf18a7403a6,6bbcc1cb-5f9c-4547-b41e-e538e05c460a,B&M,B&M,1766.0,2298.0,2930.0,818.0,6090.0,309,0.401
e2561044-bdb6-44c5-aeca-acf18a7403a6,,B&M,,1766.0,2298.0,2930.0,818.0,6090.0,309,0.401
11a80cda-0453-5c6a-a7ce-ef4c71afe412,a85e7d3c-07d7-50d3-befa-de69ee4b7fa9,Marks and Spencer,Marks and Spencer,4978.5,6890.0,9322.0,2425.0,20657.0,143,0.502
11a80cda-0453-5c6a-a7ce-ef4c71afe412,,Marks and Spencer,,1418.0,2486.0,6662.0,458.0,20657.0,303,0.931
049008d5-bb0f-54fa-8c97-38503532b05e,fbe4488b-1368-5d6f-967d-18fa6393cecc,Morrisons,Morrisons,4410.2,5616.0,6876.0,2116.0,12218.0,192,0.32
049008d5-bb0f-54fa-8c97-38503532b05e,,Morrisons,,165.8,248.0,487.2,82.0,12218.0,852,1.669
fdb1ab3a-4099-4775-93f6-87235834ea49,915c7f46-2052-4f04-a46b-92b395037e56,Black Sheep Coffee,Black Sheep Coffee,163.0,201.0,302.5,28.0,1906.0,27,1.195
fdb1ab3a-4099-4775-93f6-87235834ea49,,Black Sheep Coffee,,163.0,201.0,302.5,28.0,1906.0,27,1.195
7720e381-c77d-451c-87f6-233ab8d026ce,b1488318-8b46-49ce-9736-ea5d58153fe4,Travelodge,Travelodge,1171.2,1837.0,2622.0,624.0,5289.0,332,0.501
7720e381-c77d-451c-87f6-233ab8d026ce,,Travelodge,,1171.2,1837.0,2622.0,624.0,5289.0,332,0.501
8de3e17c-8384-48a4-9904-5bb5f25fea36,073c2f8b-5ea3-4fe1-ad90-876bd5fe2c41,McDonald's,McDonald's Drive Thru,311.0,357.0,450.0,120.0,887.0,565,0.312
8de3e17c-8384-48a4-9904-5bb5f25fea36,,McDonald's,,324.5,400.5,558.2,120.0,1473.0,856,0.423
cb64d6ca-f8db-5e7e-80d8-c09fe4e112ff,39528b04-32b4-55aa-ad85-a784499f43fd,Sainsburys,Sainsburys Local,352.0,412.0,509.0,138.0,1194.0,501,0.382
cb64d6ca-f8db-5e7e-80d8-c09fe4e112ff,,Sainsburys,,387.0,541.0,4092.0,138.0,13812.0,791,1.281
8de3e17c-8384-48a4-9904-5bb5f25fea36,87007f0e-dcec-4e08-a0ba-6dcf05fe9d5f,McDonald's,McDonald's,455.5,583.0,742.0,196.0,1473.0,291,0.389
568591fd-ed88-52eb-906e-6f5dcde0cb5e,6cf0f1d8-35ef-581f-873c-f40059ced078,Asda,Asda Superstore,6700.5,7876.0,9627.0,2373.0,16347.0,131,0.307
568591fd-ed88-52eb-906e-6f5dcde0cb5e,,Asda,,3111.5,6700.5,8720.5,108.0,16347.0,196,0.578
2cbd55e5-823e-4511-96fa-d9304d1ebc90,a28a6eb9-e29e-45eb-8470-4d56aa166a91,Well Pharmacy,Well Pharmacy,83.0,111.5,158.8,53.0,404.0,134,0.505
2cbd55e5-823e-4511-96fa-d9304d1ebc90,,Well Pharmacy,,83.0,111.5,158.8,53.0,404.0,134,0.505
5914dace-d0f3-4773-bec9-f0586a16ee05,21da536e-4147-4ddd-a567-f5cbc7db7b05,Three,Three,108.0,153.0,231.0,11.0,1320.0,253,0.792
5914dace-d0f3-4773-bec9-f0586a16ee05,,Three,,108.0,153.0,231.0,11.0,1320.0,253,0.792
649f5b43-9f4d-52a3-8adb-35611e1cabde,1b9db5b8-6b30-52fb-8e80-a7d5a856a691,The Co-operative Group,The Co-operative Food,295.0,371.0,490.0,134.0,1183.0,860,0.492
649f5b43-9f4d-52a3-8adb-35611e1cabde,,The Co-operative Group,,295.0,371.0,490.0,134.0,1183.0,860,0.492
8cc6ec48-3349-4973-8ace-1b8e699e3f3f,c769daa0-0630-4b08-9b77-aed633533734,Wagamama,Wagamama,331.2,429.5,539.5,158.0,1071.0,74,0.397
8cc6ec48-3349-4973-8ace-1b8e699e3f3f,,Wagamama,,331.2,429.5,539.5,158.0,1071.0,74,0.397
902f826b-96d5-5c8a-9188-3db46146456e,0fea3e4e-927f-5d80-b039-ebac8675c823,Booths,Booths,2255.0,2817.0,3110.0,1382.0,3527.0,13,0.224
902f826b-96d5-5c8a-9188-3db46146456e,,Booths,,2255.0,2817.0,3110.0,1382.0,3527.0,13,0.224
ebbf0853-fb50-4ed1-8662-2a105784b243,67a4d2f4-b739-482b-afae-fdf4be2ed7cf,Marston's,Marston's,296.8,385.0,503.5,138.0,1285.0,160,0.446
ebbf0853-fb50-4ed1-8662-2a105784b243,,Marston's,,296.8,385.0,503.5,138.0,1285.0,160,0.446
b61827c1-9c6b-524b-8150-dda412e381c3,23bb3f6c-064f-5407-b696-2f00e2d59414,Heron,Heron,339.5,440.0,598.5,136.0,1105.0,151,0.439
b61827c1-9c6b-524b-8150-dda412e381c3,,Heron,,338.8,440.0,597.8,136.0,1105.0,152,0.44
344e9622-c406-5164-876e-a0abac81d815,8daa2922-afe8-5bd0-92a6-5a5e0264893d,Spar,Spar,162.0,244.0,342.0,84.0,749.0,741,0.513
344e9622-c406-5164-876e-a0abac81d815,,Spar,,162.0,244.0,342.0,84.0,749.0,741,0.513
e857a28d-a53f-4411-81da-d734cc84b2bf,10b4c09e-119c-4a40-8ef1-c1ce2373a9a7,David Lloyd,David Lloyd,5511.8,9158.0,10558.0,3651.0,22786.0,70,0.413
e857a28d-a53f-4411-81da-d734cc84b2bf,,David Lloyd,,5511.8,9158.0,10558.0,3651.0,22786.0,70,0.413
b3c75b88-53a2-48a3-b2d4-cd0ba84cba92,23ec2359-06a9-4533-91d3-4b68d4a167ab,Premier Inn,Premier Inn,2330.0,3410.0,4633.0,1056.0,9297.0,275,0.514
b3c75b88-53a2-48a3-b2d4-cd0ba84cba92,,Premier Inn,,2330.0,3410.0,4633.0,1056.0,9297.0,275,0.514
36fc4be2-44a3-4833-a171-2855ab7de425,d3b5b4b0-9115-4177-8870-542e07ffe7bd,Nando's,Nando's,307.8,351.5,419.5,137.0,985.0,228,0.335
36fc4be2-44a3-4833-a171-2855ab7de425,,Nando's,,307.8,351.5,419.5,137.0,985.0,228,0.335
5ced0d4d-166f-5df8-8652-1c334602b7b8,7848b253-8fa6-51d3-8b70-f43352d7033c,Midcounties Co-operative,The Co-operative Food,223.2,325.5,441.8,58.0,1787.0,104,0.741
5ced0d4d-166f-5df8-8652-1c334602b7b8,,Midcounties Co-operative,,223.2,325.5,441.8,58.0,1787.0,104,0.741
2f90cb73-573a-5660-a854-07428d45c439,2291f534-698c-56cf-aae6-796a195caf9f,Iceland,Iceland,670.2,823.5,1040.5,280.0,2423.0,430,0.383
2f90cb73-573a-5660-a854-07428d45c439,,Iceland,,699.5,889.0,1135.0,280.0,2423.0,527,0.382
ffa03653-2689-4918-bad9-dbdd35caaade,c63119b1-718c-4e19-907f-32a40ede14f7,Starbucks,Starbucks,154.5,195.0,250.0,63.0,563.0,379,0.41
ffa03653-2689-4918-bad9-dbdd35caaade,,Starbucks,,156.5,183.0,238.0,61.0,563.0,491,0.4
fb70574b-2aff-4132-94aa-ddd7734750f6,9143e955-d095-4a21-b114-051817eb911a,Specsavers,Specsavers,170.0,236.0,315.5,107.0,946.0,192,0.527
fb70574b-2aff-4132-94aa-ddd7734750f6,,Specsavers,,170.0,236.0,315.5,107.0,946.0,192,0.527
7c575ecf-eebb-47c3-adf4-2c0d525c2db3,aa1e77c3-802f-4ef0-b881-d819663cb156,Screwfix,Screwfix,431.0,539.5,707.2,203.0,1519.0,416,0.37
7c575ecf-eebb-47c3-adf4-2c0d525c2db3,,Screwfix,,431.0,539.5,707.2,203.0,1519.0,416,0.37
0b252a25-c3aa-5edb-b1ad-92704ad3bafa,4f7cd3b2-f205-5d59-bf55-5b0c3e8a0d8f,Scottish Midland Co-operative,The Co-operative Food,104.0,222.0,318.0,37.0,1193.0,53,0.866
0b252a25-c3aa-5edb-b1ad-92704ad3bafa,,Scottish Midland Co-operative,,104.0,222.0,318.0,37.0,1193.0,53,0.866
45059750-da36-51f4-948f-29b83102b471,91a16d23-3b0f-5618-90a7-2a150029caee,Tesco,Tesco Express,304.0,367.0,428.5,130.0,1126.0,887,0.396
45059750-da36-51f4-948f-29b83102b471,,Tesco,,345.8,446.0,4204.8,130.0,25344.0,1400,1.377
743edf75-58be-49c2-b39c-0faec73fa1dc,54cb8b9f-0986-4c12-abee-a0aba0f4ab87,Subway,Subway,73.0,96.0,133.0,35.0,306.0,510,0.476
743edf75-58be-49c2-b39c-0faec73fa1dc,,Subway,,73.0,96.0,133.0,35.0,306.0,510,0.476
a5f6cacf-ab5b-44cb-9110-1dd46b043c57,40eb2492-8067-4bf4-86a2-dd2c3e7cdcad,Franco Manca,Franco Manca,170.0,243.0,314.0,42.0,576.0,57,0.48
a5f6cacf-ab5b-44cb-9110-1dd46b043c57,,Franco Manca,,170.0,243.0,314.0,42.0,576.0,57,0.48
baa22f66-d6c1-4137-80f2-9d453554e1ca,3e85bfed-4242-45ba-9cae-09d8a074bb3e,Virgin Active,Virgin Active,3070.5,3840.0,4583.0,2384.0,5982.0,11,0.291
baa22f66-d6c1-4137-80f2-9d453554e1ca,,Virgin Active,,3070.5,3840.0,4583.0,2384.0,5982.0,11,0.291
67ba942b-0e73-4f98-8101-d5b2cbae8efa,494542db-7fca-4414-9171-d63cb97df65a,Papa John's,Papa John's,84.5,108.0,134.5,39.0,302.0,143,0.477
67ba942b-0e73-4f98-8101-d5b2cbae8efa,,Papa John's,,84.5,108.0,134.5,39.0,302.0,143,0.477
539ec645-e07d-4e40-9d28-5b445ff46414,5b4f6fba-b7cb-475b-b6ac-ca281280262d,TK Maxx,TK Maxx,1873.0,2357.0,3197.5,910.0,6886.0,162,0.394
539ec645-e07d-4e40-9d28-5b445ff46414,,TK Maxx,,1873.0,2357.0,3197.5,910.0,6886.0,162,0.394
b324318f-71de-5ae7-bdb8-113b5383ccdf,28dfeaee-70b9-559f-bded-04329cf782f2,Waitrose,Waitrose,2564.2,3107.0,3558.5,1072.0,8611.0,120,0.298
b324318f-71de-5ae7-bdb8-113b5383ccdf,,Waitrose,,2086.2,2903.0,3461.0,315.0,8611.0,154,0.47
45059750-da36-51f4-948f-29b83102b471,277a03fc-0a6b-56e7-9102-4dff43461324,Tesco,Tesco,3079.0,4442.0,6148.0,1488.0,11174.0,361,0.438
bb41d2fb-6cc5-4a4d-9205-b5a5646dea31,4868a350-3fd7-425b-b6f2-a249a71147b4,River Island,River Island,917.0,1074.0,1462.5,440.0,2766.0,51,0.411
bb41d2fb-6cc5-4a4d-9205-b5a5646dea31,,River Island,,917.0,1074.0,1462.5,440.0,2766.0,51,0.411
ffa03653-2689-4918-bad9-dbdd35caaade,50309d55-45ae-47d8-82a8-3c12bc8fac5b,Starbucks,Starbucks Drive-Thru,161.8,172.0,184.0,61.0,407.0,112,0.289
77c55a35-9e5c-5bf0-b288-d5effae49af7,5e9dcc85-1212-5ab5-a95c-b6b86880e938,Cook,Cook,87.0,113.5,155.2,58.0,1425.0,74,1.138
77c55a35-9e5c-5bf0-b288-d5effae49af7,,Cook,,87.0,113.5,155.2,58.0,1425.0,74,1.138
8d27a15d-6bd9-4525-9131-07f96114d3f3,be130a8e-c11d-49c5-a420-478f6ab45388,Greggs,Greggs,88.0,124.5,194.2,40.0,347.0,448,0.509
8d27a15d-6bd9-4525-9131-07f96114d3f3,,Greggs,,88.0,124.5,194.2,40.0,347.0,448,0.509
69d4e9f4-d809-458d-a11c-f5b39f5bc870,a5367623-2e3c-49b9-a878-a6b4d3f15d8b,Zara,Zara,1679.5,2188.0,3066.0,768.0,5089.0,23,0.437
69d4e9f4-d809-458d-a11c-f5b39f5bc870,,Zara,,1679.5,2188.0,3066.0,768.0,5089.0,23,0.437
883bb401-ea4b-4fd4-9c27-0e4586af2a5d,7893445e-396c-4d58-ad5e-9577b81d07fa,The Range,The Range,3325.0,4391.0,5617.0,2561.0,10561.0,37,0.365
883bb401-ea4b-4fd4-9c27-0e4586af2a5d,,The Range,,3325.0,4391.0,5617.0,2561.0,10561.0,37,0.365
